repo,verdict,reason,capability,install_cmd,license,risk_level,risk_note,category,evidence,checked_at
JingxuanC/causal-memory,verified_plugin,,"Gives DSH agents causal memory: record_decision/record_fact, search_causal/search_facts, intervention/counterfactual queries.","cd <repo> && cargo build --release --bin causal-memory && dsh plugin --profile web add ""$PWD/dsh-plugin""",Apache-2.0,medium,Plugin spawns the causal-memory Rust binary as a child process (JSON-RPC over stdio); persists decisions/facts into local SQLite; no network access.,memory,dsh-plugin/package.json declares dsh.bundle.patch: ./cordis.patch.yml; README documents `dsh plugin --profile web add` install.,2026-08-27
lamost423/dsh-maze,verified_plugin,,"Visualizes DSH agent sessions as a maze timeline: main path, failed branches, data tracks, failure-recovery analysis, replay.",npm install --global @deepseek-ai/dsh@0.1.0-rc.8 && dsh plugin --profile web add dsh-maze && dsh web,MIT,low,Parses uploaded session logs entirely in a sandboxed iframe srcDoc; no data leaves the browser.,ui,README documents `dsh plugin --profile web add dsh-maze` (npm) plus source install; verified against DSH rc.6/rc.8.,2026-08-27
gityuanbao/DSH-Plugins,related,,"Aggregates and documents DSH plugins: scenario-based selection guide, install commands, playbooks, plugins.json catalog.",,MIT,low,Repo itself is docs-only; it links third-party plugin install commands but executes nothing.,list,"No package.json dsh fields, no cordis.patch.yml, no own plugin manifest — only curated links.",2026-08-27
MichengAI/dsh-codex-desktop,related,,"Cross-platform desktop workbench for DSH: conversation workspace, expert presets, skill center, IM assistant, plugin market.","Download platform installer from GitHub Releases (.exe/.zip, .dmg, .AppImage/.deb)",Apache-2.0,medium,Bundles and starts local DSH runtime on loopback; stores sessions/credentials in ~/.dsh; manages MCP connectors and IM channel credentials.,desktop,"Electron desktop distribution of DeepSeek Harness; no package.json dsh fields, no cordis.patch.yml, no `dsh plugin --profile` command.",2026-08-27
Rain-kl/dsh-preset-plus,watchlist,,"Editable DSH preset editor: multi-preset management, entry editing, auto or manual prefill injection, import/export.",dsh plugin --profile web add github:Rain-kl/dsh-preset-plus,MIT,medium,Injects user-authored prompt presets (incl. jailbreak/破限 content) into DSH session requests sent to the LLM provider.,session_chat,"package.json (dsh.bundle.patch:./cordis.patch.yml, client inject for web), README documents install; jailbreak focus noted.",2026-08-27
BeforeWave/dsh-with-chatgpt,verified_plugin,,"Lets ChatGPT inspect local repos, trace symbols, edit files, delegate build/test loops to native DSH sessions.",dsh plugin --profile web add @beforewave/dsh-with-chatgpt && dsh web,MIT,high,"Remote ChatGPT session gets local filesystem read/edit, symbol navigation, command execution and DSH session delegation; requires CONTROL_PLANE_TUNNEL_ID + API key.",mcp,npm package.json for @beforewave/dsh-with-chatgpt@0.1.2 contains dsh.bundle.patch='./cordis.patch.yml' — genuine native Cordis bundle.,2026-08-27
HiWhaleW/dsh-toolbox,verified_plugin,,"Installs 31 DSH tools across 4 bundles: URL/text research, bounded context routing, preflight bundle scanning, compatibility reports.",git clone ... && npm pack --workspace @dsh-toolbox/<component> (x4) && dsh plugin --profile toolbox add ./dist/*.tgz && dsh --profile toolbox,PolyForm-Noncommercial-1.0.0,medium,Reads $DSH_HOME/profiles and runs dsh --dump-config; applies/rolls back profile changes; plugin-preflight inspects local bundles.,agent_orchestration,README documents `dsh plugin --profile toolbox add`; package.json has native dsh.bundle.patch=cordis.patch.yml.,2026-08-27
jsdvjx/dsh-strata,verified_plugin,,"Adds a proportional, color-coded minimap of the whole conversation to the DSH Web transcript scrollbar.",dsh plugin --profile web add dsh-strata,MIT,low,Pure browser-side UI plugin; reads only local transcript DOM anchors and session export log; no data crosses the wire.,ui,"README documents `dsh plugin --profile web add/remove`; package.json with dsh plugin fields, cordis.patch.yml mount.",2026-08-27
Yi-111-a/dsh-jingling,verified_plugin,,"Local AI companion with reviewable/proposable memory, Character Card V2 import, browser companion panel, optional desktop-pet sidecar.",git clone ... && npm install && npm run check && npm pack && dsh plugin --profile web add dsh-jingling-0.1.0-alpha.19.tgz; or: dsh plugin --profile web add dsh-jingling,MIT,low,Reads conversation context for companionship; stores confirm-first local memory; optional locally spawned Windows sidecar exe.,ui,package.json declares dsh.bundle.patch=./cordis.patch.yml and dsh.client.platform=web; README documents both npm and tarball install.,2026-08-27
fandc520/dsh-comfyui,verified_plugin,,"Agent tools comfyui_run/comfyui_object_info/comfyui_workflow submit and inspect ComfyUI workflows, render results in-chat.",dsh plugin --profile web add dsh-comfyui,MIT,medium,"External HTTP calls to the configured ComfyUI server, optional API key from env, direct filesystem delete/copy in ComfyUI output/input dirs.",vision,"package.json (dsh.bundle.patch -> ./cordis.patch.yml, peerDeps @deepseek-ai/cordis); README documents `dsh plugin --profile web add`.",2026-08-27
SLin-code/dsh-custom-skin,verified_plugin,,"Custom wallpaper/translucent skin for DSH Web with multi-image switching, blur/opacity controls, dark/light auto-adapt.",pnpm dsh plugin --profile web add github:SLin-code/dsh-custom-skin && pnpm dsh web,MIT,low,"Pure front-end UI skin plugin; images in IndexedDB, prefs in localStorage; no network requests, no system files or credentials.",ui,"README provides reproducible `pnpm dsh plugin --profile web add`; package.json has dsh.bundle.patch=cordis.patch.yml, client platform web.",2026-08-27
10086ggqq/dsh_theme_terraria,verified_plugin,,"Full Terraria-themed web UI: real chat with streaming, tool-approval panels, model switching, 4 agent presets, desk pets.",dsh plugin --profile web add dsh-theme-terraria (or github:10086ggqq/dsh_theme_terraria),MIT,low,Replaces the local dsh web frontend; talks to dsh host via JSON-RPC/WebSocket; API key stored host-side via credentials.set.,ui,"package.json: name dsh-theme-terraria, dsh.bundle.patch ./cordis.patch.yml; README documents `dsh plugin --profile web add/update/remove`.",2026-08-27
MichengAI/dsh-archive-manager,verified_plugin,,"Archive sessions from sidebar, browse/manage in Settings->Archived, restore single/all, permanent delete with double-confirm.",dsh plugin --profile web add @michengai/dsh-archive-manager@latest,Apache-2.0,medium,Replaces DSH workspace/projection-cache services; can permanently delete archived session directories and caches (requires confirmation).,session_chat,"package.json has dsh field bundle.patch=./cordis.patch.yml, client.inject, platform web; README documents install.",2026-08-27
ZSeven-W/dsh-harbor,verified_plugin,,"Scans installed third-party DSH bundles and reports 13 capabilities with file:line evidence, conflict detection, version drift tracking.",dsh plugin --profile web add @zseven-w/dsh-harbor@next && dsh web,MIT,medium,"Reads ~/.dsh/profiles source, manifests, cordis.patch.yml, and live host registries; offline by default; opt-in upstream npm registry check.",other,"Native Cordis bundle with cordis.patch.yml, package.json dsh fields, documented `dsh plugin --profile web add` install.",2026-08-27
yoli-mi/dsh-client-ui-custom,verified_plugin,,"DSH web-client UI customization: wallpaper & frosted-glass theming, accent auto-color, custom keyboard shortcuts, usage stats.","Add roster line to ~/.dsh/profiles/web/cordis.patch.yml (id: ui-custom, name: '@ha-na-bi/dsh-client-ui-custom'), then dsh web",MIT,low,Pure browser-half plugin: CSS-variable/DOM theming only; optional marketplace sub-feature calls GitHub public API read-only.,ui,README documents browser-half roster mount via cordis.patch.yml; structure under packages/client/ui-custom.,2026-08-27
amlyczz/dsh-agy-link,verified_plugin,,Registers 'antigravity' as a native DSH model provider streaming Gemini/Claude/GPT-OSS via agy CLI; quota HUD; /agy commands.,dsh plugin --profile web add dsh-agy-link,MIT,high,Captures Google OAuth tokens via local-loopback browser flow and stores multiple account credentials; delegates subtasks to agy CLI which can execute terminal commands.,agent_orchestration,"package.json contains native DSH/Cordis bundle: dsh field with bundle.patch=cordis.patch.yml, client inject on platform web.",2026-08-27
KelaoHu/dsh-lowtide,verified_plugin,,"Queue tasks during the day, run them in off-peak low-price windows, produce morning reports; L1-L3 adjudication levels.",dsh plugin --profile web add https://github.com/KelaoHu/dsh-lowtide/releases/latest/download/dsh-lowtide.tgz,MIT,medium,Schedules and executes agent tasks with workspace/sandbox access; writes $DSH_HOME/lowtide.json; exposes loopback HTTP API on :3080.,automation,packages/dsh/package.json declares dsh field with bundle.patch=./cordis.patch.yml; README documents tarball and source installs.,2026-08-27
baihejiangnan/deepseek-harness-desktop,related,,"Multi-instance DSH launcher: create/start/stop isolated instances, collaboration canvas, plugin marketplace, runtime download.",Download x64-setup.exe or portable exe from GitHub Releases; or pnpm tauri build,MIT,medium,Launcher reads/writes each instance's DSH_HOME containing .credentials.yaml API keys; spawns DSH subprocesses; downloads runtimes and installs plugins.,launcher,"README describes a desktop launcher that spawns DSH subprocesses with isolated DSH_HOME; package.json shows React/Tauri deps, NO dsh/cordis.patch.yml fields.",2026-08-27
plolpl789/dsh-raw-html,verified_plugin,,"Toggles rendering of model HTML into real UI in the DSH web GUI; KaTeX/Mermaid/card rendering, vcp-fast caching.",dsh plugin --profile web add <plugin-path> (one-click installer install-v6.cjs),MIT,medium,Installer patches the DSH web dist bundle and injects browser-side client code; renders agent-supplied HTML (sanitized).,ui,"package.json (dsh.bundle.patch -> cordis.patch.yml, dsh.client.inject for web); README documents install.",2026-08-27
Phant0Meow/dsh-meow-smooth,verified_plugin,,"Mobile-first DSH UI (composer fold, sidebar gestures), desktop+mobile notifications, optional compression proxy.",npm install && npm run build; add cordis.patch.yml insert to target profile; restart dsh,MIT,medium,"Optional Web Push (VAPID keys), webhook POSTs to external URLs (Bark), optional gzip reverse proxy on local port 8444 rewriting /api/* responses.",ui,"package.json declares native dsh fields bundle.patch=./cordis.patch.yml, client.platform web; README documents profile assembly.",2026-08-27
cofy-x/dsh-console,related,,"Streaming multi-turn chat with Markdown, tool call inspection, model selection, session persistence, local shell mode.",npm install --global @deepseek-ai/dsh @cofy-x/dsh-console && dsh-console,Apache-2.0,medium,Local shell mode and !command run commands on the machine; image attachments read local paths; masked credential setup writes through DSH config.,ui,"README describes a standalone TUI launcher; no `dsh plugin` command, cordis.patch.yml, or package.json dsh fields documented.",2026-08-27
kenz1117/dsh-ui-usage-billing,verified_plugin,,"Real-usage cost dashboard (overview/trend/detail/stats), peak-off-peak billing engine, 73-model catalog, CSV/JSON export.","Add to host cordis.patch.yml: insert {id: ui-usage-billing, name: '@kenz1117/dsh-ui-usage-billing'}",MIT,medium,Reads persisted session logs; queries provider balance/pricing APIs using API keys via DSH credentials seam; HTTP endpoints loopback-only.,ui,README documents cordis.patch.yml mount; package.json dsh.client (platform:web) bundle auto-discovery.,2026-08-27
lizhiyao/oh-my-knowledge,verified_plugin,,"Runs controlled A/B evals, artifact health checks, evidence-gated promote/evolve/rollback version lifecycle, observability traces.",dsh plugin --profile web add oh-my-knowledge && dsh --profile web,MIT,medium,"Reads workspace knowledge artifacts, invokes model runtimes (Codex CLI, Claude Code, OpenAI/Anthropic API) using user credentials, reads DSH session traces.",other,README documents `dsh plugin --profile web add oh-my-knowledge`; verified via GitHub API metadata.,2026-08-27
FeatherHunter/dsh-mattpocock-skills-deck,verified_plugin,,"Adds a task-system deck to DSH: wayfinder map, ticket/issue tracking, progress ring, injects Matt Pocock skills.",dsh plugin --profile web add dsh-mattpocock-skills-deck,MIT,medium,"Web-profile plugin: injects prompts, tracks GitHub-issue tickets/maps, syncs into ~/.dsh/profiles/web.",ui,"package/package.json (dsh.bundle.patch: ./cordis.patch.yml, dsh.client.platform=web); README documents install.",2026-08-27
xiaozhe7772222/dsh-opencode-zen,verified_plugin,,Registers an 'opencode' LLM provider route in DSH model picker for 6 free models with streaming and tool calls.,dsh plugin --profile web add github:xiaozhe7772222/dsh-opencode-zen,MIT,medium,Sends chat prompts to external OpenCode Zen public free-tier API; optionally reads env API keys; 429/5xx backoff built in.,session_chat,"package.json (dsh.bundle.patch -> ./cordis.patch.yml, peerDeps on @deepseek-ai/cordis); README documents install.",2026-08-27
sailoumili/novel-writer,verified_plugin,,"Multi-agent novel writing: lead dispatches world/plot/character/prose/review sub-agents; produces narrative constitution, character JSON, versioned chapters.",dsh plugin --profile web add github:sailoumili/novel-writer,MIT,medium,"Preset grants AI workspace read/write (creates chapter files, character profiles, foreshadowing ledger) and enables bash/pwsh and sub-agent delegation tools.",skills,README documents `dsh plugin --profile web add github:sailoumili/novel-writer`; cordis.patch.yml injects plugin into profile; agent.cordis.yml preset.,2026-08-27
JAdpp/dsh-whale-galgame,verified_plugin,,"Multi-character Galgame UI in DSH Web: affection/level/long-term memory shared across workspaces, work-task event awareness, multi-character dramas, desktop pet.",dsh plugin --profile web add dsh-whale-galgame,MIT,medium,"Optional sends text prompts to DashScope (qwen-image-3.0 for CG, needs DASHSCOPE_API_KEY); short-drama mode fetches external material by default; scans recent sessions for task classification.",ui,README provides native DSH load path `dsh plugin --profile web add dsh-whale-galgame`; package.json dsh fields and cordis.patch.yml maintained.,2026-08-27
statem-li/dsh-webui,verified_plugin,,"DSH desktop-shell session enhancement suite: view tiles, tool-call aggregation, Shiki/KaTeX/Mermaid Markdown, cron task engine, multi-agent relay canvas, AI browser, memory, usage heatmap.",dsh plugin --profile web add github:statem-li/dsh-webui,BSD-3-Clause,high,"Contains in-shell multi-tab browser (WebContentsView/CDP), network proxy and fetch-layer interception, email verification-code extraction, file browser, vendor credentials management.",web_ui,package.json declares dsh.bundle.patch=./cordis.patch.yml and dsh.client.inject; cordis.patch.yml is bundle-layer insert; README documents install.,2026-08-27
Soren-ABT/dsh-knowledge,verified_plugin,,"Full knowledge-base/RAG for DSH: multi-format doc import, OCR, per-base embedding config, hybrid retrieval with rerank, 14 knowledge tools.",dsh plugin --profile <name> add dsh-knowledge,AGPL-3.0,medium,Sends docs to external embedding/rerank endpoints and optional MinerU service; API keys stored plaintext in local storageDomain; downloads models from HuggingFace.,memory,"package.json (dsh.bundle.patch -> cordis.patch.yml, dsh.client.platform=web, AGPL-3.0); README documents `dsh plugin --profile add`.",2026-08-27
guo6x/dsh-pilot,verified_plugin,,"Browser automation for DSH agents: open pages, DOM snapshots, click/type, navigation, JS eval, screenshots, form filling and uploads.",dsh plugin --profile web add github:guo6x/dsh-pilot,MIT,medium,"Host drives a local headless Edge/Chrome via CDP and can execute arbitrary JS (pilot_eval), fill forms, upload files; isolated headless profiles, loopback-only HTTP API.",automation,package.json declares official dsh field: bundle.patch=./cordis.patch.yml and client.platform=web; README documents install.,2026-08-27
klarkxy/zhihu-search,verified_plugin,,"One command for Zhihu search, Zhida ask, trending, user data, knowledge-base CRUD, PDF parse, PPT generation; exposed as DSH Skill and MCP server.","dsh plugin --profile web add ""github:klarkxy/zhihu-search""",NOASSERTION,medium,Requires a Zhihu Access Secret stored in ~/.config/zhihu-search/credentials.json; external API calls to Zhihu open platform.,automation,README documents DSH bundle install; dsh-plugin/ contains cordis.patch.yml + README explaining Skill mount via on-demand uvx.,2026-08-27
chumingjun/harness-one,verified_plugin,,"Canvas-based DAG workflow editor embedded in dsh UI: agent nodes, QuickJS sandbox script nodes, HTTP nodes, cron/webhook triggers, Feishu doc read/write.",dsh plugin --profile web add dsh-ccpg-one && dsh web,MIT,high,Feishu/Lark external chat messaging via bot cards; manages Feishu App ID/Secret credentials; webhook + cron triggers; HTTP nodes make arbitrary network calls.,agent_orchestration,"README documents `dsh plugin --profile web add dsh-ccpg-one` (npm package), a bundle of dsh-ccpg-* Cordis plugins; feishu-cli skill seeded into ~/.dsh/skills.",2026-08-27
ExElectron/dsh-tool-hongtou,verified_plugin,,Generates standard red-header official documents (/hongtou) as Word 2003 XML with deterministic numbering and formatting.,dsh plugin --profile web add dsh-tool-hongtou,MIT,medium,"Reads full session event logs via ctx.sessionQuery.readSession(), calls LLM for outline generation, writes generated .doc/.xml files into workspace output/.",automation,"package.json declares dsh.bundle.patch=./cordis.patch.yml, peerDependencies on @deepseek-ai/cordis; README documents install.",2026-08-27
Thanksgiver233/dsh-mobile,related,,"Runs the DeepSeek Harness engine on Android via bundled Node.js + dsh CLI; chat UI, multi-session management, plugin-market browsing.",,MIT,medium,"App embeds the dsh engine locally, manages DeepSeek API keys in settings, accesses session history via Room/DataStore, talks to plugin marketplace over the network.",launcher,"Android Studio project with assets/engine placeholder; no package.json dsh fields, no cordis.patch.yml, no dsh plugin flow.",2026-08-27
lusblead/dsh-Kingdom,verified_plugin,,"In-session multi-agent governance: kingdom init, territory CRUD, plan/assign/execute/review task loop, event ledger, optional local GUI console.",dsh plugin --profile web add dsh-kingdom,BSD-3-Clause,medium,"Spawns worker subagent sessions, calls model APIs, reads/writes workspace, persists local SQLite at ~/.dsh/kingdom; optional localhost GUI gateway.",agent_orchestration,package.json declares dsh.bundle.patch=cordis.patch.yml plus @deepseek-ai/cordis peerDeps; README documents install.,2026-08-27
GDWhisper/dsh-web-startup-auth,verified_plugin,,"Remote DSH Web startup (replaces hard-reject 0.0.0.0), login/register pages, signed session cookies, all-route API auth, password reset.",dsh plugin --profile web add dsh-web-startup-auth@latest,MIT,high,"Manages privileged credentials: admin password scrypt hash + session key in ~/.dsh/web-auth.json (0600), HMAC-signed cookies, exposes DSH Web UI to 0.0.0.0; no transport encryption.",web_ui,README documents `dsh plugin --profile web add` install; package.json dsh.bundle.patch declares bundled patch; cordis.patch.yml exists.,2026-08-27
Iwctwbh/dsh-flowglass,verified_plugin,,"Real-time DSH session flowgraph: three-lane swimlanes, subagent branches, parallel call grouping, drill-down details, markdown rendering.",dsh plugin --profile web add dsh-flowglass,MIT,low,Reads in-session message/tool-call flow data to render the UI; copy button writes to system clipboard; no network calls or credentials.,ui,README documents `dsh plugin --profile web add dsh-flowglass`; package.json includes dsh field with bundle.patch: ./flowglass/cordis.patch.yml.,2026-08-27
DIAG5/dsh-better-input,verified_plugin,,"Adds voice dictation, AI text polishing, one-click prompt optimization, multi-format file input, OCR of scanned PDF/PPT.",dsh plugin --profile web add dsh-better-input,MIT,medium,Accesses browser microphone; reads local files and converts them; sends converted text/images to the DSH-configured LLM/vision model via ctx.llm.,ui,README documents `dsh plugin --profile web add/remove/update dsh-better-input`; package.json (dsh.bundle.patch: ./cordis.patch.yml).,2026-08-27
398894496-arch/runtime36,verified_plugin,,"Deterministic knowledge retrieval for DSH: short-noun to canonical Obsidian page mapping, read-only krouter_* tools, optional daily self-evolution writer.",dsh plugin --profile web add github:398894496-arch/runtime36,MIT,medium,DSH mount is read-only reading the Obsidian vault via local python3+rg; no data leaves the machine at query time; installer writes provider API keys to env file; daily writer calls external LLM APIs if configured.,memory,"extras/dsh/cordis.patch.yml (host-realm insert, id=krouter), documented `dsh plugin --profile web add github:398894496-arch/runtime36`.",2026-08-27
ChongCyrus/Vibe-Mathematics,verified_plugin,,"Natural-language multi-agent math solving: explorer/solver/verifier/planner collaboration, independent review-debate-adjudicate cross-validation, resume, per-project isolation.",dsh plugin --profile <profile> add github:ChongCyrus/Vibe-Mathematics (or npm dsh-vibe-math),MIT,medium,"Multi-agent orchestration calls DSH host subagents/tools services, depends on tool-bash/tool-fs plugin rows (can execute shell, read/write filesystem).",agent_orchestration,README documents `dsh plugin --profile` install and manual ~/.dsh/.agent-presets copy; package.json/cordis.patch.yml/installer.js present.,2026-08-27
DingTalk-Real-AI/dsh-dingtalk,verified_plugin,,"Chat bot bridging dsh web to DingTalk private/group chats: streaming AI cards, session persistence, model selection, workspace switch, access policies.",dsh plugin --profile web add @dingtalk-real-ai/dsh-dingtalk@latest && dsh web,MIT,high,External IM (DingTalk) access; stores bot Client Secret / binding codes in $DSH_HOME/.credentials.yaml; sensitive-ops approvals fail-closed via owner codes.,session_chat,package.json has native DSH fields dsh.bundle.patch=./cordis.patch.yml; README documents `dsh plugin --profile web add` install and setup/doctor CLI.,2026-08-27
2768651338/dsh-effort-slider,verified_plugin,,Replaces the built-in Effort level list with a stepless 0-100 slider; patches adapter metadata so any third-party model gets reasoning-effort control.,dsh plugin --profile web add github:2768651338/dsh-effort-slider#main,BSD-3-Clause,low,"Browser half only talks to local DSH /api RPC; no credentials, no network calls, no user-file access.",ui,README documents install/uninstall commands; cordis.patch.yml bundle patch inserting ui-effort-slider row.,2026-08-27
webkubor/dsh-bloom-theme,verified_plugin,,"Themes DSH web UI with 8 Morandi color variants, frosted-glass panels, animated wait effect, WCAG AA contrast.",dsh plugin add @kubor/dsh-bloom-theme,MIT,low,Only injects CSS variables and a top-bar theme switcher into DSH UI; fetches npm registry version info for the update badge.,ui,"README documents `dsh plugin add/enable @kubor/dsh-bloom-theme`; repo file list shows cordis.patch.yml, package.json.",2026-08-27
hytime/dsh-thinking-effort,verified_plugin,,"Adds off/high/max reasoning levels to models lacking reasoningEfforts, per-model gateway value mapping, subagent default effort.",dsh plugin --profile <profile> add @hytime/dsh-thinking-effort,MIT,low,"Reads/writes llm-pi-ai models/modelOverrides config and subagentEffort in the DSH user profile; settings/UI only, no external calls.",ui,package.json contains native dsh.bundle.patch (./cordis.patch.yml); README documents official CLI install/update/remove.,2026-08-27
z953218350/dsh-history-tree,verified_plugin,,"Adds a fixed timeline dot rail with fish-eye magnification, glassmorphism hover cards, click-to-jump navigation for multi-turn conversations.",dsh plugin --profile web add -w dsh-history-tree,MIT,low,"Client-side only: injects into DSH web profile, reads conversation DOM in the browser to render timeline; no external calls.",ui,"package.json declares dsh.bundle.patch=./cordis.patch.yml, dsh.client.inject with platform web; README documents install.",2026-08-27
ai-daming/clickvibe,verified_plugin,,"GitHub issue-to-merge delivery control plane: per-issue status board, one-click agent dev in worktrees, auto review, rework, dry-run.",dsh plugin --profile web add link:/path/to/clickvibe,MIT,high,Spawns non-interactive Codex/Claude agents with local shell execution in worktrees; uses gh/GitHub API to push and policy-gated auto-merge remote PRs; loopback HTTP API.,web_ui,"package.json (dsh.bundle.patch=cordis.patch.yml, client platform web, peerDeps @deepseek-ai/cordis); README documents install.",2026-08-27
WilliamShi666/dsh-multiple-chat-panels,verified_plugin,,Multi-pane chat grid: drag sidebar sessions into a Mission Control grid for live parallel interaction with multiple agents.,dsh plugin --profile web add multiple-chat-panels,MIT,low,Client-side UI plugin rendered in the DSH web UI; injects client modules and patches layout; no credential/exec/filesystem access.,ui,"README documents install; package.json carries dsh field with bundle.patch: ./cordis.patch.yml, client.inject, platform web.",2026-08-27
wlj521/dsh-ui-tweaks,verified_plugin,,"Adjust DSH UI via settings panel; GitBar branch/diff ops, real PTY terminal, IDE project launcher, archive restore/delete, MCP server management.",npx -y @deepseek-ai/dsh plugin --profile web add dsh-ui-tweaks (or github:wlj521/dsh-ui-tweaks),MIT,medium,"Server-side git execFile (checkout/commit/push remote), can permanently delete archived session disk logs, rewrites profile cordis.patch.yml, exposes MCP env vars to local browser, PTY terminal.",ui,README declares DSH Web UI plugin with npm/GitHub `dsh plugin --profile web add` install commands and cordis.patch.yml overlay.,2026-08-27
chouxiaohuai/dsh-uiskin-theme,watchlist,,Installs as a persistent profile npm bundle auto-loading on DSH Web startup; browser half injects CSS + data-URI assets for a full ocean-themed skin.,dsh plugin --profile web add github:chouxiaohuai/dsh-uiskin-theme,UNLICENSED,low,"Browser-side CSS/theme injection only; assets inlined as base64 in lib/client.js, no runtime disk reads, no API keys.",ui,package.json declares dsh.bundle.patch (./cordis.patch.yml) and dsh.client (platform: web); README documents install.,2026-08-27
Lzh3070/dsh-file-review-tab,verified_plugin,,"Sidebar tab + chat-row review of agent file edits: per-turn grouped line-level diffs, per-file/per-turn undo & reapply.",dsh plugin --profile web add dsh-file-review-tab,MIT,medium,Reads agent-produced file changes (workspace file before/after snapshots); browser UI undo/redo reverts/reapplies workspace file edits.,ui,"README documents `dsh plugin --profile web add`; package.json has dsh.bundle.patch=cordis.patch.yml, client.inject with platform web.",2026-08-27
Tokeii0/dsh-lovelyaudit,verified_plugin,,"Automates black-box and source-code security audits inside the DSH sidebar: P0-P7 target mapping, vulnerability reports with PoC/EXP and severity grading.",dsh plugin --profile web add https://github.com/Tokeii0/dsh-lovelyaudit/releases/latest/download/dsh-lovelyaudit.tgz,Not found,high,Performs black-box HTTP scanning of user-supplied targets and accepts account credentials/headers (incl. auth cookies) for authenticated testing; generates PoC/EXP content.,automation,README documents `dsh plugin --profile web add` with release tarball; package.json has dsh.bundle.patch=cordis.patch.yml; skills/ holds 13 audit skill dirs.,2026-08-27
NekroAI/nekro-nxt,related,,Runs persistent group-chat agents across QQ/OneBot; per-channel contexts; model/extension management.,,AGPL-3.0,high,"Logs into IM accounts (QQ official bot, OneBot 11) to read/send group messages; uses management key and device auth; Docker with persistent data volume.",agent_orchestration,"README explicitly states it is a standalone distribution product, NOT a DSH or Cordis plugin; no package.json dsh fields.",2026-08-27
dsh-blue/blue,verified_plugin,,"Interactive terminal UI for DeepSeek Harness: streaming transcripts, tool cards, dock panes, status bars, slash commands, themes.",npm i -g @deepseek-ai/dsh; dsh plugin --profile blue add @dsh-blue/blue@rc; dsh --profile blue,MIT,medium,Local TUI reads/writes dsh sessions and drives agent actions; requires DEEPSEEK_API_KEY credential; underlying agent presets can invoke tools.,ui,packages/bundle/blue/package.json has native dsh.bundle.patch='./cordis.patch.yml'; README documents install commands.,2026-08-27
whitefirer/dsh-niulai-pet,verified_plugin,,"Browser-side desktop pet rendering (skins, drag, physics, group photo) + task-completion detection via sessions.list + custom character packs + voice keyword recognition.",dsh plugin --profile web add dsh-niulai-pet,MIT,medium,"Pure client UI plugin; optional voice-stop feature uses getUserMedia mic only during loop calling, audio never leaves the browser; host registers settings namespace only.",ui,"package.json has native dsh.bundle.patch -> cordis.patch.yml, client.platform=web; README documents `dsh plugin --profile web add dsh-niulai-pet`.",2026-08-27
AgentConnect/dsh-awiki,verified_plugin,,"Web-profile DSH bundle adding AWiki identity (OTP login/recovery), IM (DMs, groups, attachments), AI summaries, 5 mail + 5 message agent tools.",dsh plugin --profile web add @awiki/dsh-plugin@latest,MIT,high,"Handles privileged identity state: DID/Handle + recovery OTP, secret vault root key under ~/.dsh/awiki/, external API calls to awiki.ai, optional listener lets whitelisted peers drive agent sessions.",session_chat,"package.json carries native dsh field (dsh.bundle.patch=./cordis.patch.yml, client platform web); README documents install.",2026-08-27
Minglink/DeepSeek-Harness-Hub,related,,Plugin discovery/marketplace hub and install-protocol documentation for the DSH ecosystem via an external desktop client.,,MIT,low,Repo contains only README/LICENSE/logo; documents a dsh://plugin/install protocol and links to a Windows desktop EXE; no data flows from this repo itself.,list,"Repo holds only README.md, LICENSE, logo.png; no plugin code, cordis bundle, or package.json dsh fields.",2026-08-27
jiuge2467/dsh-studio,related,,"Full DSH web workbench: VSCode-like sidebar (SSH terminal, explorer, git diff), multi-source MCP manager, CoT reasoning adapter, desktop mascot.",git clone ... && pnpm install && pnpm run build && pnpm dsh web --host 0.0.0.0,MIT,high,"Suite exposes SSH/PTY remote terminal with agent terminal-control tools (remote exec on servers), MCP JSON-RPC debug sandbox, git/workspace file and browser operations.",web_ui,Root package.json @deepseek-ai/dsh-root; plugins/ vendored copies; LICENSE 'Copyright (c) 2026 DeepSeek' => vendored core harness.,2026-08-27
unclecode/toolshrink,verified_plugin,,"Reduces oversized agent tool output by semantic shape with honest omission markers and disk spill, cutting context cost.",dsh plugin --profile web add github:unclecode/toolshrink,MIT,medium,"Intercepts tools/post-execute results, reads all tool output text, spills full originals to ~/.dsh-toolshrink (24h TTL); no credentials, shell, or network calls.",automation,"package.json (dsh.bundle.patch -> ./cordis.patch.yml), cordis.patch.yml insert row id:toolshrink; adapters/harness/toolshrink.mjs hooks tools/post-execute.",2026-08-27
YRN-playmaker/dsh-wallpaper_share,verified_plugin,,Syncs Wallpaper Engine dynamic wallpapers as DSH web background; multi-monitor source lock; opacity/blur/shadow sliders.,dsh plugin --profile web add github:YRN-playmaker/dsh-wallpaper_share (or npm: dsh plugin --profile web add dsh-wallpaper_share),GPL-3.0,low,Reads only local Wallpaper Engine status/install dir via registry; diag route is localhost-only; writes visual state in page memory only.,ui,package.json has dsh.bundle.patch + dsh.client config; cordis.patch.yml provides bundle patch layer; README documents install.,2026-08-27
